SentPair1,SentPair2,SentPair3,SemPair4,Best,Worst
"['مالا موراها تسمى نميمة هكا', 'عجبني واحدالمساك راحة نديه']","['شمسو ولا مليون', 'كاينا خويا شمسومانسوطيش']","['يبعد عليا الجن والنسا', 'مزلتي تعيط كيما الصيد']","['ياو كل يوم مشني ﭬﺎعد نصلي', 'صح الصلاة هي الليتأثر فيك']",4,1
"['والله ما على بالي لقيتيني حايرة', 'عندي شويةسلق نديره و خلاص']","['وحد العبارة يشوفوها غير المسلمين', 'أسمعﭘﺎسكو يعطيه ربي قدرات']","['مازالوا عندك ليدوكيمون', 'إيه مازالوا عندي']","['شافت ماما  لوخر يسقام أقل', 'ﭬﺎﻟﺖ المهم حاجةﭘﺎرفومي يمسحو باها يديهم']",3,2
"['خويا شمسو فالقمة', 'مانسوطيش يعطيك صحشمسو']","['لا مشها مخيطة', 'راح تخيطهالها نصيرة']","['پاپا يصلي في مسجد بلال', 'آه يصلي في مسجدبلال']","['شديد العقاب على اللي يعصيه', 'ما تعنديهاش دايمندايرة هاكدا']",3,4
"['رجعلي ڤالي لا پاسكو ما عندوش الوقت ويپريپاري في دوكتورا و راح يسوتني و كدا و ماعندوش الوقت', 'بعتلو انا ميساج ڤتلو موسيو مافهمتش وعلاه انسيستيتي و نتا عامبالك بلي عندكخدمة و ما تقدرش']","['يعطيك الصحة خويا شمسو راك قمة', 'يعطيكالصحة راني ضحكت بزاف']","['يروحوا يحجوا لكندا ولا واش ؟', 'كاين ناس يحبويعيشوا في بلاد القانون']","['وانا على بالي واش راني نهدر', 'حتى احنا مرادماراناش نهدرو في الريح']",1,3
"['أومبعد بينوم و كي أنا  كي خالد حابين مونوم', 'قالت لك مليحة كل واحد لي يحب يدير وحده يديروحده']","['بلاكو  تجيكم أومبعد تقولوا لها نقراو عندك', 'طلع المورال والله عجبوني ليجون جاو  بكريالصباح']","['إيه صح بالصح يخرج مع لاڢاست تاعي أوسي', 'ماتخافيش ما نديهولكش راني نهدر برك']","['على شحال رحتي', 'وليت على الطناش']",4,1
"['كيما حبيتي', 'امالا عيطيلنا']","['أدخلي لداركم يا طفلة ، راه الليل', 'هدي كل ماتسمع الرصاص تخرج، آيا أدخلي']","['بلون و موڢ', 'لي تروحي بيها']","['هادي ما نعرفهاش', 'قليل اللي يعرفوها']",4,3
"['نهار رحنا كيفكيف', 'وقيلة جوايه لواونز']","['خطرة شافت واحد معدي ڤالت لك بقا ديما فيبالي حتى هو رجلو مقصوصة ﭬﺘﻠﻬﻢ كون حتىيجيني', 'ديما ﻳﭭﻮلولها كيما وحدة تتخطب لعقوبةليك ديما يجي في بالها أداكا لي شافتو خطرةوحدة']","['قلت خلي نعيط أنا لمفيدة برك', 'مفيدة ما لقيتشالنيميرو تاعها عندي شوفي']","['ربي يعيشك', 'بلا مزية']",2,1
"['هوما ام فامي طورش', 'ماما جابتهالي بوحدالطريقة']","['أكتب الجملة هدي ولا ما عجبتكش هدي تاني', 'انت لوكان جات ليا والله ما ازوجتها خاطيكالتربية']","['كل مرة هكدا', 'كل نهار هكدا']","['وكيما كان الحال مالمرة اللولا جابت ولد', 'بصح كيماﻳقولو غير ازاد اداه لمرتو اللولا']",3,1
"['عندها تلاتة ولا ربع سنين دفقت عليها أختها الماءالسخون', 'شفتيه هداك الباب الكبير لي مالفيننغطيو بيه الكبش شفتي']","['أها ما طلعتش اليوم', 'وصلك الميساج تاعالبارح']","['كانت كاينة كرمة تعطر الحومة', 'كنت نقابلها حتىتديني عيني']","['ربي يتقبل ما تنسايش تدعي لنا', 'نشالله مالة واشتحكي كاش جديد']",2,1
"['هاداك ما نعرف تلاقاه صاحبو تاني شافو من بعيدما نعرف شافو ولا لالا', 'كي جاء رايح ليه لقاه راحليسونسيال كي بان هدا ما كان']","['بانتلي الصابون أدا دارلي الحكة', 'و خوخة أيعند فاطمة']","['كل يوم نتكونكتاو تقريب ساعة ونهدرو مع بعضنا', 'مارانيش حابة نكتر عليها بزاف باش ما تتقلقش']","['پاپا يصلي في مسجد بلال', 'إيه يصلي في مسجدبلال']",4,2
