PairID,Text,Score
ARY-train-0000,"تنفرد بنشرها “كود”: سلسلة “كيفاش السلاطين ديال المغرب كايشوفو “ريوسهوم” وكايشوفو السلطة ديالهوم وكايحميوها؟ !” احتكار السلطان الشريف العلوي للمجال الديني والسياسي… السلطان العلوي وعلاقتو بالزوايا ح 86
تنفرد بنشرها “كود” سلسلة “كيفاش السلاطين ديال المغرب كايشوفو “ريوسهوم” وكايشوفو السلطة ديالهوم وكايحميوها؟ !” آشنو هي المكانة المؤسسية ديال الأحزاب السياسية في المغرب؟ (1) ح 165",0.38
ARY-train-0001,"الوضعية الوبائية لفيروس كورونا فهاد 24 ساعة: 238 تصابو و93 تشافاو و4 ماتو.. الطوطال: 12290 منهم 8833 صافي تعافاو و225 توفاو و3232 كيتعالجو و18 حالتهم حرجة
حصيلة كورونا فهاد 24 ساعة: 1143 مغربي ومغربية تصابو و33 ماتو و1737 تشافاو و13933 كيتعالجو.. و42 بين الحياة والموت",0.5
ARY-train-0002,"هاباش سالا ملف الاتجار في العفو الملكي بسجن الأوداية وهاشحال عطاو للمتورطين
جورنالات بلاديفضيحة الاتجار في العفو الملكي تجر موظفين بسجن الأوداية إلى الاعتقال ومجهولون مسلحون ينفذون هجوما خطيرا على مستخدمي شركة “ستاريو” بسلا",0.53
ARY-train-0003,"تنفرد بنشرها “كود”: سلسلة “كيفاش السلاطين ديال المغرب كايشوفو “ريوسهوم” وكايشوفو السلطة ديالهوم وكايحميوها؟ !” محاولة تنحية سيدي محمد بن يوسف عن العرش لتاريخ 25 فبراية 1951…أسلحة الإقامة العامة الفرنسية. الحلقة 112 (الجزء 2)
سلسلة تنفرد بنشرها “كود”:”كيفاش السلاطين ديال المغرب كايشوفو “ريوسهوم” وكايشوفو السلطة ديالهوم وكايحميوها؟ !” الزعامة العسكرية للسلطان الشريف:الجيش الانكشاري ودوره الأمني والسياسي ح 68",0.25
ARY-train-0004,"في أقل من سيمانة.. 5224 قضية تعرضات على القضاء “عن بعد” وها شحال من محابسي استفد منها وفارس كيحذر من التراخي مع الإجراءات الصحية
المحاكمات “عن بعد”.. ها شحال من جلسة دازت غير فهاد الفترة وها شحال من محابسي استفد منها",0.56
ARY-train-0005,"زيان لـ”كود”: الحكومة دارت لقاء مع راسها بعد خطاب عيد العرش وبلا نتيجة وها شنو خاصها دّير باش يخرج الشعب كيشطح
شباط عن خطاب عيد العرش لـ”كود”: خطاب تاريخي وكيرد على الشعب وفيه رسائل واضحة للحكومة",0.42
ARY-train-0006,"منظمة الصحة العالمية خربقات العالم. خدات قرار آخور على الهيدروكسي كلوروكين: وقفناه حيت لقينا انه لا فائدة فيه فعلاج المصابين بكورونا
منظمة الصحة العالمية غاتجرب 3 ديال الدوايات لعلاج المصابين بكورونا",0.39
ARY-train-0007,"الدزاير.. 129 إصابة جديدة بـ”كورونا” و5 ماتو و91 تشفاو: ها شحال وصلو فالطُوطَالْ
الدزاير سجلات 581 إصابة جديدة بـ”كورونا” و12 ماتو و273 تشفاو: ها شحال وصلو فالطُوطَالْ",0.66
ARY-train-0008,"برنامج تاريخنا على “كود”.. اسرة العلويين الحاكمة فالمغرب (الحلقة 4) : السلطان اسماعيل قتل الالاف وقطع ريوسهوم وعلقها على اسوار فاس ومكناس
برنامج تاريخنا على “كود”.. (الحلقة 2) : مولاي علي الشريف مؤسس حكم العلويين – فيديو",0.31
ARY-train-0009,"الأرصاد الجوية كتحذر من الحرارة اللّي جاية: غادي توصل لـ44 فهاد المناطق
الأرصاد الجوية: الحرارة غادي تزيد تشعل وغادي توصل لـ43 درجة فهاد المناطق",0.75
