PairID,Text
HIN-pilot-00001,"""जॉर्जियाई अधिकारियों ने बताया कि 8 अगस्त 2008 को पोटी के काला सागर बंदरगाह पर लगभग 1 हवाई हमला तो हुआ था।""
""2008 में जॉर्जिया के लोगों ने बताया कि 8 अगस्त को पोटी नाम की जगह पर हवाई जहाज़ से हमला हुआ था. पोटी काला सागर के पास एक बंदरगाह है।"""
HIN-pilot-00002,"""पुलिस आरोपित से अवैध हथियार की खरीद-फरोख्त के बारे में पूछताछ कर ही है।""
""पर हमें दीर्घावधि के दृष्टिकोण से सोचना होगा।"""
HIN-pilot-00003,"""कई बार पहले भी बच्ची को जान से मारने की धमकी दे चुका था।""
""इसी बात के विवाद में वह मायके भी चली गई थी।"""
HIN-pilot-00004,"""धुंध से परेशान हैं, हिमाचल की पहाडियों का रूख करें""
""बोस ने कहा कि हो सकता है कि कोई ऐसा कर रहा हो।"""
HIN-pilot-00005,"""इस दौरान वह दो बार गर्भवती हुई और चार बार उसने खुदकुशी की कोशिश भी की।""
""साथ ही उसने पीडि़त को झांसा दिया कि उसका कार्ड ब्लॉक हो गया है।"""
HIN-pilot-00006,"""जॉर्जिया के एक अलगाववादी क्षेत्र में हवाई हमलों ने संघर्ष को तीव्र किया।""
""हवाई हमलों के कारण जॉर्जिया के एक हिस्से में, जहां कुछ लोग देश के बाकी हिस्सों से अलग रहना चाहते हैं, लड़ाई और भी बदतर हो गई है।"""
HIN-pilot-00007,"""आप वैसे लोगों के बीच जाएं जिन्हें योजनाओं का लाभ मिला है।""
""सिर्फ शिक्षा क्षेत्र में दोनो देशों के विभिन्न शैक्षणिक संस्थानों के बीच 54 समझौते हो चुके थे।"""
HIN-pilot-00008,"""हरियाणा में करीब 300 करोड़ रुपये के चावल घोटाले में सरकार ने बड़ी कार्रवाई की है।""
""ए इससे चावल मिल मालिकों में हड़कंप मच गया है।"""
HIN-pilot-00009,"""यह सिर्फ आधुनिक चीन की एक विशेषता है, इस बारे में हम कुछ भी नहीं कर सकते।""
""यह बस कुछ ऐसा है जो आजकल चीन में होता है, और इसे बदलने के लिए हम कुछ नहीं कर सकते।"""
HIN-pilot-00010,"""खुला अय्याश बाबा का राज,औरतों को यूं फंसाती थी शिष्याएं""
""चांदी सिक्का लिवाल 80,000 रुपए और बिकवाल 81,000 रुपए प्रति सैकड़ा पर टिका रहा।"""
HIN-pilot-00011,""" हवाई हादसा ""
""इस पूरे मामले में जेट एयरवेज का कहना है कि मामले की जांच चल रही है।"""
HIN-pilot-00012,"""गायन के दौरान पंडित छन्नूलाल मिश्र ने दैनिक जागरण का नाम भी लिया।""
""पंजाब की ताजा खबरें पढ़ने के लिए यहां क्लिक करें"""
HIN-pilot-00013,"""चुने जाने के बाद, एर्दोगन ने कहा कि तुर्की इराक में अपनी भूमिका पर अमेरिका से आश्वासन चाहता है।""
""लोगों द्वारा नेता चुने जाने के बाद एर्दोगन ने कहा कि तुर्की यह सुनिश्चित करना चाहता है कि अमेरिका इराक में उनकी जिम्मेदारियों के साथ उनकी मदद और समर्थन करेगा।"""
HIN-pilot-00014,"""रिसाव की चपेट में बगल की आदित्य सनटेक सिटी के 50 से ज्यादा लोग आ गए।""
""इनमें चार बच्चे भी हैं।"""
HIN-pilot-00015,"""वास्तव में, मुझे लगता है कि उदारवादी/स्वतंत्र मतदाता भी गलत हैं, लेकिन मैं गलत हो सकता हूं।""
""दरअसल, मेरा मानना है कि आप उदारवादी/स्वतंत्र वोट देने वाले भी गलत हैं, लेकिन मैं गलत हो सकता हूं।"""
HIN-pilot-00016,"""उन्होंने मार्था कोकले को पक्के तौर पर हरा दिया।""
""उन्होंने मार्था कोकले के ख़िलाफ़ इस तरह से जीत हासिल की कि लोगों को विश्वास हो गया कि वह बेहतर विकल्प हैं।"""
HIN-pilot-00017,"""खोह नागोरियान इलाके में शादी का झांसा देकर एक युवती से देहशोषण का मामला सामने आया है।""
""पुलिस ने रिपोर्ट दर्ज कर जांच शुरू कर दी है।"""
HIN-pilot-00018,"""गांव गोद लेंगे सीएआरआइ के वैज्ञानिक""
""जल्द ही जिले के कुछ गांवों में वैज्ञानिक झाड़ लेकर सफाई की अलख जगाते नजर आएं तो मत चौकिएगा।"""
HIN-pilot-00019,"""शमिता है बिग बॉस ओटीटी शिल्पा की बहन शमिता शेट्टी आजकल बिग बॉस ओटीटी पर नजर आ रही हैं।""
""अनन्या पांडे फिल्म स्टूडेट ऑफ द ईयर 2 से बॉलीवुड में डेब्यू करने जा रही हैं।"""
HIN-pilot-00020,"""सीआइए ने दोनों को कैनाल कॉलोनी पुलिस को सुपुर्द कर दिया।""
""राजधानी में एक बार फिर पुलिस ने दो हुक्काबारों पर कार्रवाई की।"""
