PairID,Text
AFR-dev-1,"Hoe, dink jy, is die pikkewyn aangepas om in water te swem?	Hoe, dink jy, stoor dit water vir lang tydperke?"
AFR-dev-2,"Indien moontlik, vra ons vir donasies uit die gemeenskap om by te dra tot n suksesvolle fondsinsamelingsprojek.	Indien die gemeenskap vir ons van enige donasies kan voorsien, sal dit opreg waardeer word."
AFR-dev-3,Jy ry die eerste hoepel antikloksgewys tot by n vurk in die pad.	Internet is die ander tegnologie wat dit moontlik maak om jou besigheid op n bekostigbare manier te bemark.
AFR-dev-4,"Vettel veg uitstekend terug om steeds vyfde te eindig, maar dis n groot knou vir sy kampioenskap-droom.	Ons ry tot bo-op die hoë duin, en kon van bo af die soutwerke mooi sien."
AFR-dev-5,"Ek het n kruisie gemaak dat jy my kan sien, waar ek by die venster uitloer.	As ek nie n kruisie gemaak het nie, sal jy nie eens geweet het dis ek nie."
AFR-dev-6,Die WR het 74.5% van die subjekte korrek geklasifiseer met 'n sensitiwiteit van 93%.	Dit het 74.5% van die subjekte korrek geklassifiseer met 'n sensitiwiteit van 69%.
AFR-dev-7,"Indien jy n verf met n oplosmiddel-basis gebruik het, sal verfstroper goed werk.	Wend n onderlaag aan  Plascon se Tile & Melamine Primer werk baie goed."
AFR-dev-8,"Vishuis sal ook n erfenissentrum wees.	Wanneer Vishuis voltooi is, kan dit n brug wees in die gemeenskap."
AFR-dev-9,"Die rand het in Desember teenoor sowel die dollar as die euro versterk.	Einde Desember het die rand teen onderskeidelik R12,37 en R14,82 teenoor die dollar en euro verhandel."
AFR-dev-10,Die komma kan vir nadruk gebruik word om woorde of frases van die res van die sin te skei.	Die komma word nie ná die aanhef en groet in 'n brief of e-pos gebruik nie.
AFR-dev-11,"Pak n laag komkommerlinte op die rys.	Pak n ry biltong, avokado en soetrissie oor die lengte van die rys en rol styf op."
AFR-dev-12,Bykomende inligting oor die toekennings is beskikbaar hier afgelaai word.	Bykomende inligting oor NAB Wys New York is hier afgelaai word.
AFR-dev-13,Ons maklike resepte is ook aflaaibaar in gidse wat jy kan uitdruk en in jou kombuis kan hou.	So kan jy dan ook die maklike resepte wat op Ontbytsake gedeel word op rekenaar of selfs kompakskyf hou.
AFR-dev-14,"Gemaak deur 'n betroubare maatskappy, bied hierdie produk vitamien K1 as fyllokinoon.	Hierdie produk word vervaardig deur 'n bekende betroubare handelsmerk; maar dit is baie duurder as sommige alternatiewe."
AFR-dev-15,Die doel van die vervreemding van die grond was die oprigting van die nuwe hoë hof vir Mpumalanga.	Die munisipaliteit moes gevolglik n ander stuk grond aankoop vir die oprigting van die nuwe hoë hof.
AFR-dev-16,Oranjeroete (5 km)  lekker vir gesinne wat hulle tegniese vaardighede wil toets.	Geelroete (30 km)  geskik vir die meeste bergfietsryers.
AFR-dev-17,Neem n afvalstukkie kroonlys en merk waar dit die muur en die plafon ontmoet.	Posisioneer die lys waar die muur en plafon ontmoet en hou vas tot die gom droog is.
AFR-dev-18,Skaap sleep die bruin dwarshoute oor die swaar stompe.	Skaap en bewer kap die dwarshoute vas aan die swaar stompe met lang spykers.
AFR-dev-19,Tans is dit die enigste verklarende Afrikaanse woordeboek wat op n selfoon beskikbaar is.	Dit is as n CD en n aanlynweergawe (ook op n selfoon) beskikbaar.
AFR-dev-20,Sy werk by n privaat kleuterskool en woon in Durbanville.	Pak n laag lasagne-velle bo-op en herhaal tot jy vier lae het.
