PairID,Text,Score
ARQ-train-0001,"يعطيك الصحة ام وليد جربتها ذركا راني ناكل فيها ام شحال بنينة
 يعطيك الصحة او وليد جربت ليوم مسمن جا روعة انا ام ريان متتبعة وفية",0.62
ARQ-train-0002,"خالتي خيرة وليتي تعرفي السلاح
 كون جيتو تحوسو على خدمة",0.44
ARQ-train-0003,"قلت له نقول لك حاجة ادي كونجي و عيطلي، كي دا كنجي و عيطلي،  قلت له في لامان يا خويا الطمع ماشي مليح
 الميدسان التالت تاع العينين، رحت نداوي عنده قلت له يا دكتور عندي لوجيسيال و كدا حكيت له ، قالي ننصحك ؟ أخطيك",0.44
ARQ-train-0004,"كلام نعيمة صح
 المغرب والجزائر خاوة خاوة",0.19
ARQ-train-0005,"والله ترومبورسي على بالك كون ايفيقو ترمبورسي سوارد
 لا لا أكي تخدمي أبنتي أكي خدامة",0.5
ARQ-train-0006,"واحنا على بالنا باللي ما كانش في الدارجة
 هذه عليها ڤصرة ، بالصح بالهدرة ماشي بالكتيبة",0.5
ARQ-train-0007,"انفورماتيك
 وعلاه",0.28
ARQ-train-0008,"ايه  الطارف
 و ﯾجوزو يومين",0.44
ARQ-train-0009,"اخطيني أ مختار روح عليا
 حبيتي ولا كرهتي نداها نداها",0.34
ARQ-train-0010,"تقدري تكتبي ليدي ماشي شرط كلمة بكلمة
 ايماجيني هكا و ما يعطيوكش لانوت",0.41
ARQ-train-0011,"شمسو راك وصلتنا صوتنا يعطيك الصحة
 لي مزال يتفرج الفيديو لضركا يخبط جام",0.53
ARQ-train-0012,"و تاني كاين سكايب ، ماتخافيش
 صح رايحين تكونو كل يوم معايا",0.44
ARQ-train-0013,"نعرف نرقد أنا برك هدا واش ندير
 أرقد و تشوف كي يجيك مني الكف",0.72
ARQ-train-0014,"لالا أملاك الدولة
 ما عطاوكش الكوﻧڢوكاسيون",0.34
ARQ-train-0015,"يعني يتدوق الفن ، هادي هي
 العسل عنده ودنين هادي ما نعرفهاش",0.41
ARQ-train-0016,"نجيب الدوا
 مشها محلولة",0.25
ARQ-train-0017,"نانا اليوم تقتلني
 على جال الدراهم",0.53
ARQ-train-0018,"الكاييي ما هزيتوش خلاه
 رايحة نجيب ڤاطو نجيبلك",0.34
ARQ-train-0019,"وي دزاير كبيرة ياسر وفيها غاشي كبير
 درت ساعة باش ترجمت هاد الجملة",0.22
ARQ-train-0020,"ﭬﻌﺖ مع الهادي برا
 يخساب خو مريم سارڢور",0.19
ARQ-train-0021,"بالاك يكلخولك
 خممت فيها",0.38
ARQ-train-0022,"و أنيس من ساكا
 قالتلي علابالك واش يعيطلنا",0.25
ARQ-train-0023,"ديري ڢيرڤول مور كلمة يضاربوا
 على خاطر مهمة في الترجمة",0.44
ARQ-train-0024,"ڤالي اتام تاعك مليح و كلش و غدوة نڤول لك اسكو نحكمك ولا لا
 كان النهار اداكا لربعا ڤالي غدوة نڤول لك آه ولا لا و لا كان لا وعلاه",0.84
ARQ-train-0025,"ما نعرف بالصح على بالك بلي كاين لونتروتيان و صعيب بزاف
 كي تدخلي تلقاي ناس بزاف كل واحد عنده ليتكنيك باش تتعاملي معاه",0.53
ARQ-train-0026,"كيما هداك لي حكالنا عليه عبدو لي عنده زعكة صغيرة
 هداك ماراهوش سلالة أصيلة كيما نقولو راه هجين تاع زوج سلالات",0.59
ARQ-train-0027,"يام كلهم مركة فرنسي كشم ﻟﭭﻴﺘﻲ راحة مركة ألجيريان
 آه كاينين بصح مدرحين كاينين وحايد مخدومين هنا",0.59
ARQ-train-0028,"يعطيك الصحة خويل شمسو ربي يحفضك انشاء الله
 فوور فوور والله مانسوطي برافو شمسو",0.69
