lang,spearman_scores_baseline,spearman_scores_finetuned
arb,0.5463210309892745,0.6181066990954787
arq,0.4001595191882878,0.6037810686482697
ary,0.3763232223830959,0.7653577718131664
esp,0.6510376404478234,0.6951164590255102
hau,0.4769676639430302,0.6945394539473633
hin,0.7092417744399683,0.7685444489842264
ind,0.5275285291415474,0.4980474032608502
kin,0.4534538354186325,0.720699444891137
mar,0.8182085523062139,0.8785585750248011
pan,-0.1129608460041761,-0.0511880568252003
tel,0.8023837884093983,0.8156301432684755
amh,0.785491227576239,0.8474588687561639
eng,0.8182692159591411,0.8347746992995905
