PairID,Text,Score
kin_train_00001,"Izi serivisi benshi bigaragara ko batarasobanukirwa, zabanje gutangirwa mu bitaro byitiriwe Umwami Faisal (KFH) ariko ubu bisigaye bikorerwa mu bitaro bya gisirikare i Kanombe.
Col Dr Charles Furaha, ni umusirikare w’umuganga uzobereye muri izi serivisi utashakira ahandi mu Rwanda uretse aho akorera mu bitaro bya gisirikare i Kanombe.",0.31
kin_train_00002,"Avuga ko agahinda ke katangiye gukura ubwo yari ageze mu mashuri yisumbuye kuko akiri umwana nabwo yari agafite ariko katarakura cyane nk’uko byaje kugenda nyuma.
Iyo akiri umwana aba avuga utugambo twinshi, ugasanga arasakuza ariko iyo afashijwe n'ababyeyi cyangwa abandi bamurera agenda akura ahinduka",0.31
kin_train_00003,"Igitego cya Rayon Sports cyatsinzwe n'umusore w'umurundi Kwizera Pierrot ku munota wa 24 w'umukino, kuri Coup Franc Rayon yari ibonye.
Rayon Sports itsinda igitego cya mbere ku munota wa 68 cyatsinzwe na Niyonzima Olivier Sefu, nyuma y’akazi kari kabanje gukorwa na Caleb na Sarpong.",0.44
kin_train_00004,"Ubutumwa buri muri iyi ndirimbo ni ukumenya no gushishikariza abantu ko nta wundi wo gusingizwa atari Imana.
Ndayishimiye yavuze ko ubutumwa buri muri iyi ndirimbo bugamije kubwira abantu ko bafite ubutunzi bukomeye bwo kumenya Imana.",0.57
kin_train_00005,"Iwacu w’imyaka 20 y’amavuko yiga iby’ikoranabuhanga mu ishuri rikuru rya Akilah institute for Women riherereye mu mu Mujyi wa Kigali.
Ubu yiga mu mwaka wa nyuma mu ishami ry’ikoranabuhanga rya mudasobwa mu ishuri rikuru rya Akilah Institute for Women riri mu Mujyi wa Kigali.",0.5
kin_train_00006,"Ubwo Media yakomeje amubwira ati:""Cyusa twagerageje guhagarika ndetse no kwitambika umubano wa Esther na Micheal ariko aho bigeze urabona ko tumaze gutsindwa!""
Ariko Media aramusubiza ati:""Cyusa ntacyo ntakoze ngo ntandukanye Esther na Micheal Pe!",0.53
kin_train_00007,"Perezida Kagame yavuze ko abanyarwanda nibakomeza gukora ibyo bashoboye byose bigamije iterambere, ngo nta kabuza bazabigeraho kuko ngo abantu bose Imana yabaremanye ubushobozi bungana.
Icyo gihe Perezida Kagame yagize ati “Leta izakomeza gukora ibishoboka byose ngo ifashe Abanyarwanda muri ibi bihe bitoroshye.",0.38
kin_train_00008,"Amavubi ari kwitegura umukino na Guinée-Conakry mu gushaka itike y’Igikombe cya Afurika
Uyu yari kumwe na Côte d’Ivoire yanyagiye Amavubi ibitego 5-0 kuri stade Amahoro mu 2011 mu gushaka itike y’igikombe cya Afurika cya",0.29
kin_train_00009,"Duhugukire kwandika neza Ikinyarwanda Mu myandikire y’Ikinyarwanda hari amakosa akunda gukorwa ashingiye ku ifatana n’itandukana ry’amagambo.
Duhugukire kwandika neza Ikinyarwanda (igice cya gatatu) Mu myandikire y’Ikinyarwanda, hari amagambo afatana n’andi atandukana.",0.75
kin_train_00010,"“Abaturage kandi basabwa kugira isuku nko kumenyera kwituma mu bwiherero, gukaraba intoki, no kuryama mu nzitiramibu.”
Yagize ati “Nko mu Rwanda dukangurira abaturage isuku birinda ibigunga n’ibizenga by’amazi hafi y’ingo, dutera umuti mu ngo tukanakangurira abaturage kuryama mu nzitiramibu.",0.78
kin_train_00011,"Kuri uyu wa Gatatu tariki 20 Ugushyingo 2019 biteganyijwe ko Rayon Sports isubukurira imyitozo yo mu kibuga i Rugende.
Rayon Sports iri kwitegura Sunrise FC bagomba guhura kuri uyu wa Gatanu tariki 1 Werurwe 2019 kuri Stade ya Kigali i Nyamirambo.",0.34
kin_train_00012,"Liesse, izina ry’umukobwa uhorana ibyishimo Liesse ni izina rihabwa umwana w’umukobwa risobanura ‘Ibyishimo’, rikaba rifite inkomoko mu Butaliyani kuva mu myaka yo hambere.
Rajesh, izina ry’abantu bagorwa no kuvugira mu ruhame Rajesh ni izina rihabwa umwana w’umuhungu, rifite inkomoko mu gihinde ku izina Riaja risobanura ‘umwami’.",0.28
kin_train_00013,"Urwibutso rwa Jenoside yakorewe Abatutsi rwa Mukarange rubitse imibiri y’Abatutsi 8,763 bishwe muri Jenoside Masengesho Winfrida Jenoside yatangiye afite imyaka 15 y’amavuko.
Akarere ka Kayonza gafite inzibutso za jenoside yakorewe Abatutsi 7, zose zibitse imibiri y’Abatutsi",0.28
kin_train_00014,"Ribanje Laurent, umwe mubatangiranye na koperative Duterimbere Murundi yagarutse kuburyo koperative yatangiye n’uburyo babifashijwemo na Kayonza Rice Product Ltd.
Yagize ati koperative twayingije muri 2012 ariko mu mpera za 2013 nibwo twabonye ubuzimagatozi tubifashijwemo n’umuterankunga wacyu Muzehe Nyagatare uhagarariye Kayonza Rice Product Ltd.",0.56
kin_train_00015,"Gusa ngo iperereza rirakomeje kugira ngo uwabigizemo uruhare wese amenyekane kandi abihanirwe.
CIP Hakizimana kandi avuga ko abakekwaho kugira uruhare muri ubu bwicanyi nabo ntibaramenyekana, gusa ngo iperereza rikaba rigikomeza.",0.75
