Language,Sentence pair,Translation,Score
Indonesian,"Pada tahun 2016 MNL Malam Penghargaan, ia memenangkan MNL player of the year award.
Flores memenangkan Johnny Warren player of the year untuk musim 2010-11.","At the 2016 MNL Awards Night, he won the MNL player of the year award.
Flores won Johnny Warren player of the year for the 2010-11 season.",0
Indonesian,"Iris jingga, lingkar mata kuning tebal, paruh atas hitam, paruh bawah hijau, kaki kuning pucat.
Iris coklat dengan lingkar mata kuning, paruh gelap, kaki merah-jambu.","Orange iris, thick yellow eye ring, black upper beak, green lower beak, pale yellow legs.
Brown iris with yellow eye ring, dark beak, pink legs.",0.17
Indonesian,"Spears merilis album studio keempatnya, In the Zone, pada bulan November 2003.
Pada bulan November 2009, Spears merilis album hits terbaik keduanya, The Singles Collection.","Spears released her fourth studio album, In the Zone, in November 2003.
In November 2009, Spears released her second greatest hits album, The Singles Collection.",0.33
Indonesian,"Curah hujan rata-rata tahunan adalah 3726 mm.
Curah hujan rata-rata tahunan adalah 3766 mm.","The average annual rainfall is 3726 mm.
The average annual rainfall is 3766 mm.",1
Indonesian,"Pendidikan Desa Pusaka memiliki 4 sekolah.
Pendidikan Desa Serumpun Buluh memiliki 4 sekolah.","Pusaka Village Education has 4 schools.
Serumpun Buluh Village Education has 4 schools.",0.83
Afrikaans,"My eerste stukkie advies is dat jy realisties moet wees oor die afstand wat jy wil hengel.
Dit bring tot n einde die maanverkenningsprogram van die Verenigde State.","My first piece of advice is to be realistic about the distance you want to fish.
This brings to an end the lunar exploration program of the United States.",0.19
Afrikaans,"Bevolkingsverspreiding beskryf die manier waarop mense oor die wêreld se oppervlak versprei is.
Die manier hoe mense oor 'n gebied versprei is, word bevolkingsverspreiding genoem.","Population distribution describes the way people are spread over the world's surface. 
The way people are spread over an area is called population distribution.",0.97
Afrikaans,"Met daardie lang tong wat tot `n half meter uitgesteek kan word stroop hulle blare van bome.
Met daardie lang tong trek hulle ook tot doringtakke nader om die blare in sy bek in te trek.","With that long tongue that can be extended up to half a meter they strip leaves from trees.
With that long tongue they also approach thorn branches to pull the leaves into their mouths.",0.97
Afrikaans,"Die skool aanvaar geen verantwoordelikheid indien dit wegraak, gesteel of beskadig word nie.
Die skool aanvaar geen verantwoordelikheid vir diefstal uit sluitkassies nie.'","The school accepts no responsibility if it is lost, stolen or damaged.
The school accepts no responsibility for theft from lockers.",0.81
Afrikaans,"Die volledige verslag sal ook aan die werkgroep beskikbaar gestel word vir bespreking tydens 'n volgende vergadering.
Die werkgroep sal in kennis gestel word sodra die prysinligting op die webtuiste beskikbaar is.","The full report will also be made available to the working group for discussion at a subsequent meeting. 
The working group will be notified as soon as the pricing information is available on the website.",0.56
Hindi,"डॉ. टैल्कॉट ने राष्ट्रीय कैंसर संस्थान और हार्वर्ड विश्वविद्यालय और बोस्टन विश्वविद्यालय के मेडिकल स्कूलों के शोधकर्ताओं की एक टीम का नेतृत्व किया।
डॉ. टैल्कॉट ने कैंसर का अध्ययन करने के लिए विभिन्न विश्वविद्यालयों के वैज्ञानिकों के एक समूह के साथ काम किया।","Dr. Talcott led a team of researchers from the medical schools of National Cancer Institute and the Harvard University and Boston University.
Dr. Talcott worked with a group of scientists from different universities to study cancer.",0.95
Hindi,"अंतर्राष्ट्रीय परमाणु ऊर्जा संस्था भविष्य में अपने प्रश्न पूछने के अधिकार को गवां सकती है।
भविष्य में, अंतर्राष्ट्रीय परमाणु ऊर्जा एजेंसी अब प्रश्न पूछने में सक्षम नहीं होगी।","The International Atomic Energy Agency may lose its right to ask questions in the future.
In the future, the International Atomic Energy Agency will no longer be able to ask questions.",0.8
Hindi,"देश में कोरोना वायरस से मौत का आंकड़ा 100 के पार पहुंचा, पिछले 12 घंटे में 26 की गई जान
देश में कोरोना वायरस का कहर तेजी से बढ़ता जा रहा है।","Death toll due to Corona virus in the country crossed 100, 26 people lost their lives in the last 12 hours.
The havoc of Corona virus is increasing rapidly in the country.",0.72
Hindi,"यह सरकार हमेशा से यही कोशिश करती रही कि आखिरी व्यक्ति तक योजनाओं का लाभ पहुंचे।
वह स्वाभिमान के साथ देश के विकास के साथ कदमताल कर सके।","This government has always been trying to ensure that the benefits of the schemes reach the last person.
He can keep pace with the development of the country with self-respect.",0.55
