PairID,Text,Score
ESP-train-0000,"Una mujer a punto de comer pescado.
Una mujer a punto de comer trucha.",1.0
ESP-train-0001,"Las protestas volvieron a Honduras, en este caso impulsadas por el sector sanitario y educativo.
Desde los sectores afectados, se considera que esta reforma abre la puerta a la privatización y a los despidos masivos.",0.5
ESP-train-0002,"Acapulco: pasado espléndido, presente feroz
Otra nieta, de sólo dos años, también fue asesinada.",0.18
ESP-train-0003,"Estuvo arriba y comenzó nuevamente desde abajo.
Y para mí Elio Berhanyer era como un dios que luego se convirtió en un ángel.",0.57
ESP-train-0004,"No era más que un desierto; había artemisa en la pista.
Ciertamente, una parte de lo que necesitamos es una forma de distinguir la organización de procesos reales en el mundo del no equilibrio.",0.26
ESP-train-0005,"¿De quién es hija Martine Aubry?
¿Quién vende Viagra?",0.13
ESP-train-0006,"De 1915 a 1928, Fuller representó a Wollondilly para el Partido Nacionalista y, desde 1916, al Partido Liberal.
Desde 1915 hasta 1928, Fuller Wollondilly representó al Partido Nacionalista y al Partido Liberal desde 1916.",0.98
ESP-train-0007,"Muchas bacterias disponen de flagelos o de otros sistemas de desplazamiento y son móviles.
Muchas bacterias tienen una capa S de moléculas de proteína de estructura rígida que cubre la pared celular.",0.51
ESP-train-0008,"Desde hace 113 años, un pedacito de Cuba está bajo control de Estados Unidos por un alquiler anual que podría ser el que se paga mensualmente por un buen apartamento en una gran ciudad.
""La verdadera historia aquí es por qué se producen tantas filtraciones ilegales en Washington"", se quejó Trump tras la renuncia de Michael Flynn.",0.26
ESP-train-0009,"La niña está regando las plantas
Un patinador está haciendo trucos en un half pipe",0.28
ESP-train-0010,"Después de testificar en el caso Till, Reed se mudó a Chicago y cambió su nombre de Willie Louis a Willie Reed.
Después de probar en el caso Till, Reed se mudó a Chicago y cambió su nombre de Willie Reed a Willie Louis.",0.65
ESP-train-0011,"La bandera original, sin embargo, tenía un color marrón en lugar de verde.
Sin embargo, la bandera original tenía un color marrón en lugar de verde.",0.7
ESP-train-0012,"¿Qué país retiró sus tropas de Bosnia?
¿Cuándo se ratificó la enmienda de sufragio femenino?",0.23
