PairID,Text,Score
hau_train_00001,Haka ya furta a cikin jawabin sa na murnar cikar Najeriya shekaru 61 da samun ‘yanci.\nYa yi wannan iƙirarin e a cikin jawabin sa na murnar cikar Najeriya 61 da samun ‘yanci a ranar Juma’a.,0.94
hau_train_00002,"RASHIN TSARO: ‘Yan bindiga sun arce da Kwamishinan Hukumar Ƙidaya ta Ƙasa, sun nemi a biya su Naira miliyan 500\nKotu ta nemi Bawa ya buga wasiƙar neman afuwar Bello a wasu jaridun Najeriya, sannan kuma ya biya shi diyyar naira miliyan 10.",0.29
hau_train_00003,"Amma ana saura kwana ɗaya sai ya kira ɗan takarar mataimakin gwamna ya ce ba zai halarta ba, don haka a fasa kawai.\nGwamna Okowa dai shi ne ɗan takarar mataimakin shugaban ƙasa na Atiku Abubakar a zaɓen 2023.",0.15
hau_train_00004,"Buhari ya tashi zuwa Saudiyya, zai yi Umra ta ƙarshe a matsayin sa na shugaban kasa\nWannan ne karo na farko da babu sunan Muhammadu Buhari a cikin ‘yan takarar shugaban ƙasa, tun daga 2003 har zuwa yau tsawon shekaru 20.",0.31
hau_train_00005,"Gusau ya ce masu son kawo tashin hankali a ƙasa kaɗai za su iya watsa waɗannan ƙarairayi don cimma wani buri na su na siyasa.\n“Amma saboda ba na son tayar da fitinar da za ta hargitsa PDP baki ɗaya, sai na haƙura don a zauna lafiya.",0.15
hau_train_00006,"A Abuja kuwa, Jam’iyyar Peter Obi ta ragargaji su O’o da O’o a rumfunan zaɓen kewayen Fadar Shugaban Ƙasa.\nPeter Obi ya lashe yawancin rumfunan zaɓen kewaye da fadar ta Shugaban Ƙasa a Abuja.",0.25
hau_train_00007,"Shugaban karamar hukumar Gulani Ilu Dayyabu ya ce ambaliyar ta ci gidaje da shaguna sama da 100 a kauyukan Kukawa, Bularafa da Bulunkutu.\nJam’iyyar PDP ce ta lashe kujerar shugaban karamar hukumar Kajuru a zaben Kaduna da ka yi ranar Asabar.",0.05
hau_train_00008,Bayan haka kakakin rundunar ‘yan sandan jihar Mohammed Shehu ya tabbatar yin garkuwa da daliban kwalejin ranar Laraba da safe.\nKakakin rundunar ‘yan sandan jihar Abimbola Oyeyemi ya tabbatar cewa mutumin na fama da matsalar tabuwar hankali.,0.12
hau_train_00009,"Shi ma ɗan takarar gwamna aka yi masa ƙarin geji, daga naira miliyan 200 zuwa har naira biliyan 1.\nShi kuma ɗan takarar majalisar tarayya daga naira miliyan 10 zuwa naira miliyan 70.",0.75
hau_train_00010,"Har yanzu dai ya na tsare a Hedikwatar DSS tun cikin watan Yuni, 2021, bayan kamo shi da aka yi daga ƙasar Kenya.\nAn naɗa Buni shugabancin kwamitin tafiyar da APC na mutum 13, a cikin watan Yuni, 2020, bayan an wancakalar da shugabancin Adams Oshiomhole.",0.3
hau_train_00011,A karshe dai shine ya zo ma uku a zaɓen inda Amaechi ya zo na biyu Ahmed Lawan ya zo na hudu.\nYin garkuwa da Uboh shine karo na biyu da mahara ke yi a jihar a cikin makonni uku da suka wuce.,0.12
hau_train_00012,"WAEC ta yi wannan sanarwa ce a ranar Litinin a Legas, lokacin da ake bayyana sakamakon jarabawar SSCE (May/June).\nAmaechi ya sha ragargazar ce a ranar Alhamis, lokacin da ya bayyana a gaban Kwamiti domin kare kasafin 2022 na ma’aikatar sa.",0.0
hau_train_00013,"Idan ba a manta ba Peter Obi ne ɗan takarar mataimakin shugaban kasa a zaben 2019, na jam’iyyar PDP ta re da Atiku Abubakar.\nDino Melaye ya sha ƙasa a zaben fidda gwani na jam’iyyar PDP a Kogi",0.5
hau_train_00014,"Gwamnatin Jihar Neja ta jaddada cewa a cikin shekaru biyu ‘yan ta’adda masu garkuwa da mutane su raba aƙalla 151, 380 daga gidajen su.\nA Rijau kuwa an raba mutane 5,809 daga gidajen su.",0.92
hau_train_00015,TSANANIN KISHI: Kotu ta yanke wa kafintan da ya kwarara wa tsohuwar budurwarsa da saurayinta  ruwan batir  hukuncin ɗaurin shekara 7 a gidan kaso\n“A wannan rana Agu ya kwarara wa tsohuwar budurwarsa da sabon saurayinta ruwan batir bayan ya binciki wurin da suka shan iska.,0.62
hau_train_00016,"A ranar Juma’a ce Ɗan Majalisar Tarayya Gudaji Kazaure ya yi wannan zargi.\nMambobin sun yi ganawa ce ranar Alhamis a Majalisa, ƙarƙashin jagorancin Sanata Phillip Aduda, ɗan PDP da ke wakiltar Gundumar FCT Abuja a Majalisar Dattawa.",0.29
hau_train_00017,"RIKICIN JAM’IYYA: Gwamnonin PDP sun ƙaryata zargin sun nemi Uche Secondus ya sauka daga shugabancin jam’iyya\nGwamnonin jam’iyyar PDP sun ƙaryata zargin da aka yi masu cewa sun nemi Shugaban Jam’iyya na Ƙasa,  Uche Secondus ya sauka daga shugabancin jam’iyya.",0.89
hau_train_00018,"KATSINA A HANNUN ‘YAN BINDIGA: Mahara sun sako basaraken da su ka kama bayan ya shafe kwanaki 26 a hannun su\nAn sako Sarkin Bunguɗu, bayan ya shafe kwanaki 32 a hannun Ƴan bindiga",0.4
hau_train_00019,Haka kuma Ɗanmadami ya ce sojojin da ke sintiri sun bindige  ‘yan bindiga bakwai a Ungwan  Birni cikin Ƙaramar Hukumar Kajuru duk a Jihar Kaduna.\nRundunar sojin Najeriya dake aiki a karkashin ‘Operation Forest Sanity’ sun kashe ‘yan bindiga biyu a karamar hukumar Chikun dake jihar Kaduna.,0.5
hau_train_00020,Shugaba Muhammadu Buhari ya tabbatar da cewa bashin da ke kan wuyan Najeriya ya kai naira tiriliyan 42.8.\n‘Yan Najeriya da dama sun ce bashin Naira tiriliyan 22.7 da Buhari ya karɓa a CBN ba ya cikin doka.,0.69
hau_train_00021,Daga watan Satumbar 2017 zuwa ranar 12 ga Yuni 2022 an samu mutum 653 da ake zargin sun kamu da cutar a jihohi 33.\nDaga cikin mutum 262 din da aka gano an samu tabbacin cewa kashi 40.1% sun kamu da cutar a jihohi 23.,0.62
hau_train_00022,"“A yankin arewa kusan kashi 90% na mutanen yankin basu shiga shafukan yanar gizo.\nHakan ya nuna farashin shiga takarar Shugaban Ƙasa a 2023, ya nunƙa na shekarar 2015 kusan da kashi 300%.",0.0
hau_train_00023,"Alkalin kotun Ademola Adesanya ya bada belin Oladeji akan Naira 100,000 sannan da shaidu biyu.\nAlkalin kotun Anas Isa ya bada belin Sebanjo akan naira 500,000 tare da gabatar da wadanda za su tsaya masa biyu.",0.5
hau_train_00024,"Kwamishinan Tsaron jihar Kaduna Samuel Aruwan, ya zargi wata kafar yada labarai ta yanar gizo da kirkirar karya da kuma tunzura jama’a a kansa.\nKwamishinan tsaron jihar Kaduna Samuel Aruwan ya bayyana cewa Talatar wannan mako ce ta karshe da za a ci kasuwar Kawo dake cikin garin Kaduna.",0.5
hau_train_00025,"Babban kotu dake Gwagwalada, Abuja ta raba auren shekara 15 dake tsakanin Okpanachi Yahaya da Zainab Adejoh saboda laifin cin amana a aure.\nMuhibbat ta roki kotun ta raba auren saboda babu sauran soyayya a tsakanin ma’auratan.",0.33
