PairID,Text,Score
MAR-train-00001,"""गुरु नानक देव, त्याचे शिकवण आणि आशीर्वाद आता अगदी संबंधित आहेत आणि संपूर्ण मानवतेसाठी प्रेरणा देण्याचे स्रोत आहेत.""
""गुरु नानक देव आणि त्यांची शिकवण-दिक्षा संपूर्ण मानवजातीसाठी, केवळ भारतातीलच नाही, तर संपूर्ण मानवजातीसाठी मार्गदर्शक आहे.""",1.0
MAR-train-00002,"""२०१ च्या तुलनेत आंतरराष्ट्रीय संस्था आणि एजन्सी आज भारताकडे कसे वेगळ्या प्रकारे पहात आहेत याचा पंतप्रधानांनी नमूद केले.""
""2013च्या तुलनेत, आंतरराष्ट्रीय संस्था आणि एजन्सीचा भारताकडे पाहण्याचा दृष्टीकोन बदलला आहे.""",1.0
MAR-train-00003,"""केंद्र सरकारच्या दृष्टीने यशस्वीरित्या अंमलात आणण्यात हरियाणाच्या राज्य सरकारच्या प्रयत्नांचे पंतप्रधानांनी कौतुक केले.""
""केंद्र सरकारच्या दृष्टीकोनानुसार हरियाणात योजनांची प्रभावी अंमलबजावणी सुरु असल्याबद्दल त्यांनी समाधान व्यक्‍त केले.""",0.98
MAR-train-00004,"""g) सुरक्षित, सन्माननीय आणि टिकाऊ पर्यटनाला प्रोत्साहन देणे.""
""· सुरक्षित, सन्माननीय आणिशाश्वत पर्यटनाला प्रोत्साहन देणे.""",0.97
MAR-train-00005,"""ही उदाहरणे प्रशासन सुधारण्यासाठी तंत्रज्ञानाची शक्ती दर्शवितात.""
""या उदाहरणांवरून तंत्रज्ञानामुळे प्रशासनात सुधारणा होत असल्याचे स्पष्ट झाले आहे.""",0.97
MAR-train-00006,"""दोन्ही नेत्यांनी दोन्ही देशांमधील लोकांची अखंड हालचाल सुनिश्चित करण्याची गरज यावर जोर दिला.""
""दोन्ही नेत्यांनी उभय देशांतील लोकांमध्ये एकसंघ व्यवहार सुनिश्चित करण्याच्या गरजेवर भर दिला.""",0.97
MAR-train-00007,"""पंतप्रधान श्री नरेंद्र मोदी यांनी चंदीगडमधील आज भारत-फ्रान्स व्यवसाय शिखर परिषदेला संबोधित केले.""
""पंतप्रधान नरेंद्र मोदी यांनी आज चंडिगढ येथे भारत-फ्रान्स व्यापार शिखर परिषदेला संबोधित केले.""",0.97
MAR-train-00008,"""त्याने सुरक्षा दल आणि पोलिस दलाच्या जवानांना सलाम केला.""
""पोलीस आणि सुरक्षा दलाच्या जवानांना त्यांनी सलाम केला.""",0.97
MAR-train-00009,"""महाराष्ट्र निवडणूक 2019: देवेंद्र फडणवीस यांची भाजपाच्या विधिमंडळ नेतेपदी निवड""
""मुंबईः देवेंद्र फडणवीस यांची भाजपाच्या विधिमंडळ नेतेपदी निवड झाली आहे.""",0.97
MAR-train-00010,"""श्री सितारम केडिलाय यांनी आज पंतप्रधान श्री नरेंद्र मोदी यांना त्यांच्या हाती घेतलेल्या भारत परिक्रम पाद्यात्राच्या यशस्वी पूर्ततेनंतर आज आवाहन केले.""
""भारत परिक्रमा पदयात्रा यशस्वीपणे पूर्ण केल्यानंतर सिताराम केडिलया यांनी आज पंतप्रधान नरेंद्र मोदी यांची भेट घेतली.""",0.95
MAR-train-00011,"""पंतप्रधान म्हणाले की, आज, संपूर्ण जग चमकणारा तारा म्हणून भारताकडे पाहतो.""
""सगळे जग आज भारताकडे एक चमकता तारा महणून बघत आहे, असे पंतप्रधान म्हणाले.""",0.94
MAR-train-00012,"""हवामान बदलाच्या धोक्यात कमी करण्यासाठी आपण एकत्र काम करूया.""
""वातावरण बदलाचा धोका कमी करण्यासाठी चला एकत्रित काम करू.""",0.94
MAR-train-00013,"""लोकांच्या अपेक्षा आणि आकांक्षा पूर्ण करण्यासाठी अरुणाचल प्रदेशच्या नवीन सरकारला माझ्या शुभेच्छा.""
""जनतेच्या आशा-आकांक्षा पूर्ण करण्यासाठी अरुणाचल प्रदेशमधल्या नव्या सरकारला माझ्या शुभेच्छा.""",0.94
MAR-train-00014,"""पंतप्रधान श्री नरेंद्र मोदी यांनी गुजराती लोक गायक दिवालीबेन भिल यांच्या निधनानंतर शोक व्यक्त केला आहे.""
""पंतप्रधान नरेंद्र मोदी यांनी गुजराती लोककलावंत दिवालीबेन भिल यांच्या निधनाबद्दल दु:ख व्यक्त केलं आहे.""",0.94
MAR-train-00015,"""सहकार्याचा करार 14 डिसेंबर, 2017 रोजी स्वाक्षरीकृत होता.""
""14 डिसेंबर 2017 ला या सहकार्य करारावर स्वाक्षऱ्या करण्यात आल्या होत्या.""",0.94
MAR-train-00016,"""पंतप्रधान श्री नरेंद्र मोदी यांच्या अध्यक्षतेखाली केंद्रीय मंत्रिमंडळाने राष्ट्रीय प्रशिक्षु पदोन्नती योजनेस मान्यता दिली आहे.""
""पंतप्रधान नरेंद्र मोदी यांच्या अध्यक्षतेखाली केंद्रीय मंत्रिमंडळाने राष्ट्रीय प्रशिक्षणार्थी प्रोत्साहन योजनेला मंजुरी दिली.""",0.94
MAR-train-00017,"""जीवन मोठे आहे, गरजा अंतहीन आहेत.""
""जीवन विशाल आहे, गरजा अनंत आहेत.""",0.94
MAR-train-00018,"""वाराणसी येथील आंतरराष्ट्रीय अधिवेशन केंद्रासाठी पंतप्रधान फाउंडेशन स्टोन देखील ठेवतील.""
""वाराणसी इथल्या आंतरराष्ट्रीय संमेलन केंद्राचे भूमीपूजनही पंतप्रधान करतील.""",0.94
MAR-train-00019,"""त्या दिवशी संसदेत बोलताना मी 2022 पर्यंत नवीन भारत तयार करण्याचा आवाहन केला.""
""या विशेष दिवशी संसदेमध्ये भाषण करताना मी 2022पर्यंत नवभारताच्या निर्माणामध्ये सर्वांनी सहभागी होण्याचे आवाहन केले.""",0.94
MAR-train-00020,"""“कबड्डी विश्वचषक जिंकल्याबद्दल भारतीय संघाचे अभिनंदन.""
""“कबड्डी विश्वचषक जिंकणाऱ्या भारतीय कबड्डी संघाचे अभिनंदन.""",0.94
MAR-train-00021,"""भारत आणि नेपाळमधील बौद्ध धर्म हा कसा महत्त्वाचा दुवा आहे हेही त्यांनी नमूद केले.""
""नेपाळ आणि भारतामध्ये बौद्ध धर्म हा दुव्याचे काम करत आहे, असेही ते म्हणाले.""",0.94
MAR-train-00022,"""त्याचे निधन होणे साहित्याच्या जगाचे मोठे नुकसान आहे.""
""त्यांच्या निधनामुळे साहित्य क्षेत्राचे मोठे नुकसान झाले आहे.""",0.94
MAR-train-00023,"""विश्वासार्ह मीडिया प्लॅटफॉर्ममधील निरोगी स्पर्धा आपल्या लोकशाहीच्या आरोग्यासाठी देखील चांगली आहे.""
""विश्वासाहर्तेच्या व्यासपीठावर प्रसार माध्यमांमध्ये असणारी निकोप स्पर्धा आपल्या लोकशाहीसाठी आरोग्यदायी ठरणार आहे.""",0.94
MAR-train-00024,"""आंतरराष्ट्रीय महिला दिनानिमित्त त्यांनी सुरू केलेल्या नॅशनल न्यूट्रिशन मिशनचा उल्लेख त्यांनी केला.""
""आंतरराष्ट्रीय महिलादिनी सुरु करण्यात आलेल्या राष्ट्रीय पोषण अभियानाचा त्यांनी उल्लेख केला.""",0.94
MAR-train-00025,"""जागतिक बँकेच्या इंडेक्समध्ये व्यवसाय करण्याच्या सुलभतेत भारत वाढला आहे.""
""जागतिक बँकेच्या अनुक्रमाणिकेमध्ये व्यापार सुलभीकरणात भारताचे स्थान वर गेले आहे.""",0.94
MAR-train-00026,"""पंतप्रधान मोदी यांच्या कतारच्या भेटीदरम्यान त्यांनी विविध करार/ एमओएसच्या निष्कर्षाचे स्वागत केले.""
""पंतप्रधान नरेंद्र मोदी यांच्या कतार भेटीदरम्यान झालेल्या विविध करार आणि सामंजस्य करारांचे स्वागत करण्यात आले.""",0.92
