SentPair1,SentPai2,SentPair3,SentPair4,Best,Worst
"['بعض الناس ينجرفون', 'آخرون كسالى ويرتكبون اخطاء']","['حيث توجد أحياء حقيقية وأشجار حقيقية، وطرقاتحقيقية يمكن السير عليها.', 'أشخاص تُعجب بهم،أشخاص ربما لاتعرفهم']","['الزوجة : هاك الوشاح المطوي ثمان مرات', 'الزوج   حسناً هذا هو وشاح القطن']","['قررت أن التزم بالصمت، تماما.', 'لقد كانت لحظةانهزام']",1,2
"['نحتاج لتدريب أنفسنا على التفكير المسبقفى مثل هذه المواقف', ' يعني أن تؤدي النوتةبهدوء.']","['لقد دمر،كما هو حال البلدة القديمة نفسها.', 'نصفالأحياء الأخرى في المدينة هي الآن تحت الأنقاض']","['و لكن هذه الصورة ليست أبعد أو أشهر صورة نعرفهالكوكب الأرض.', 'تلك الصورة تم التقاطها بهذا الشيء ،إنه يسمى ، مسبار فويجر']","['وهذا هو اللغز الاخير .. كيف النساء تغدو اقوى كلماطالت المسافة', 'اللغز الثالث  في جامعة يوتاه  بدأوايراقبون السباقات ويراقبون العدائين']",3,1
"['أخبرت زميلي داني كانيمان، الحائز علىجائزة نوبل.', 'فعندما تحدث كارثة يحضرفريق من الخبراء ويحاولون اكتشاف الخطأالذي حصل، أليس كذلك؟']","['هل يمكن لأثيوبيا فعل هذا؟', 'يبدو أنه طموح للغاية']","['والأن سأخبركم كيف قمت بتأليف هذه القصة', 'قمتبالتفكير بأنه يجب جلبها للمنزل أولاً']","['هذا القدر، أليس كذلك؟', 'تلك التي تمزق نفسها']",3,4
"[' صدمة، اضطراب ما بعد الصدمة،', 'أنهكان شيئاً موجود لا يتحدث عنه أحد']","['في المدن الصينية الكبرى، فإنهم يفرضون حصصاعلى عدد السيارات في الشوارع.', 'في العديد من المدنالغربية، لم يعد الشباب يرغب في قيادة السيارات']","['نعم، هناك الكثير من الضحك. نعم، بالتأكيد.', 'الكثيرمن الضحك وقدرا لا بأس به من الخجل']","['هذا التحرك هو تحرك لا إرادي بشكل كامل', 'فالحيوانهنا كما هو مفترض لا يتحكم بساقيه']",3,1
"['فجميع ردود الفعل عن الطيران أو القتالتعمل', 'وهذا عكس طريقة الغضب والخوفوالذعر']","['سيقوم المعلمون بإخبارنا كم نحن مفيدين', 'ثم عندهاقالوا،  لماذا لا تأتون الى المدرسة؟']","['بلد بعد بلد تنشق, تنفصل, تنجح, تفشل وأصبحتجميعها مجزأه للغاية..', 'ذه هي الدول ذات السيادة لمتكن موجودة من قبل عام 1990']","['طاولة المستشفى هذه تكلف 10،000 دولار، 10 أضعاف العادية.', 'لكن المستشفيات تشتريها أسرع منأي طراز آخر']",3,1
"['و لكن الحقيقة هي أن مرض شلل الأطفالموجود حتى هذا اليوم', 'قمنا بتحضير هذهالخارطة لجون لكي نريه أين ينتشر مرضشلل الأطفال']","['سنستعرض صورتين', 'لقد تلقيت جائزة ما على ماأعتقد؟']","['أنا لا أقول يجب عليك أن تأخذ الستاتين أم لا.', 'ماأعنيه هو أنه يجب عليك أن تجري هذه المحادثة معطبيبك.']","['كل شيء مرتبط بالعلاقات.', 'العلاقات هي الموردالحاسم لنا']",4,2
"['دعونا نعود لمرض السكري.', 'هذا هونموذج لحقن الانسولين']","['آمل في أن تفهموا لغتي الإنجليزية.', 'إنها فيالصباح عسيرة، وبعد الظهر أسوأ']","['أنت بحاجة إلى التدريب، وأنا سأساعدك.', 'لكن كفيعن حزم أمتعتك']","['الأطفال والنساء هم أكثر المتضررين, لأنهم هم غالباًيجلسون حول نيران الطهي تلك.', 'لذا نريد أن نفحصاذا كان بامكاننا تقديم تقنية صنع الفحم هناك']",1,2
"['أطفالنا ينمون بسرعة و يتعلمون القراءةبسرعة.', 'سوف نحصل على كل أنواعالمزروعات']","['كانت مكسورة', 'عندما عادت إلى المنزل، كانت تشعربالإحباط']","['بالمناسبة .. السيدة هناك تبكي', 'ولكن ماذا عنكم ؟']","['إنّ أجسامنا بيئات حيوية.', 'إنّها في حركة مستمرّة']",2,1
"['إنه تصميم يتحدى حدسكم', ' إنه ليس ماتعتقده حين تراه لأول مرة']","['كانوا لا يعتمدون على حاسة الشم، بل كانوايستخدمون الحُصيْن.', 'لكنها تعتبر نافعةً للأشياء التيلا تتحرك كثيرا لا تصلح للأشياء التي تتنقل هنا وهناك']","['ولكن السؤال هو: هل يمكننا امتلاك ازدواجيتنا؟', 'هلنمتلك الشجاعة للتمسك بكلا الأمرين؟']","['أحببت الإحصاء من سن مبكرة.', 'و قد درست كثيراًفي السويد']",1,2
"['قمت برسم شجرة الرمز ""p"" والذي يبين أنهمهما بلغ عددها من الألوف، فإنك لن تتمكنأبداً من الوصول إلى الصمت التام.', 'وفينفس الوقت، تعلمت أنه يمكنني إحداثصوتٍ، ولاحظت كيف يستجيب الناس لي.']","['في الواقع، هذه المادة التي ترون واضحة وشفافة.', 'مركبات هذه المادة هي فقط الماء والبروتين']","['طلبنا من الأشخاص صنع "" الأوريغامي "" أو فن طيالورق .', 'أعطيناهم بعض التعليمات حول كيفية صنعالأوريغامي و أعطيناهم ورقة']","['ولكن هذه واحده من الحالات العجيبة النادرة والتيفيها تكون ايضاً فائدة اقتصادية.', 'بامكان الناس انتصنع وقود الطهي بنفسها من ناتج المهملات']",3,1
