PairID,Text,Score
TEL-train-00001,"""జమ్మూకాశ్మీర్లో మంచుకొండచరియలు విరిగిపడి గురువారం పెద్ద ప్రమాదం చోటుచేసుకుంది . ఈ ప్రమాదంలో ఐదుగురు మృతి చెందారు . పలువురు గాయపడ్డారు .""
""జమ్మూకాశ్మీర్లో మంచుకొండచరియలు విరిగిపడిన ఘటనలో ఐదుగురు మృతి చెందారు,పలువురు గాయపడ్డారు .""",0.88
TEL-train-00002,"""కూతురుపైనే కన్నతండ్రి అత్యాచారానికి పాల్పడిన అమానుష ఘటన కర్నూలు జిల్లా బనగానపల్లెలో గురువారం చోటుచేసుకుంది .""
""కన్నతండ్రి కూతురుపై అత్యాచారం చేసిన దారుణ ఘటన గురువారం కర్నూలు జిల్లా బనగానపల్లెలో చోటుచేసుకుంది.""",0.87
TEL-train-00003,"""గంగా నదిని కాపాడేందుకు ప్రత్యేక చట్టం తీసుకురావాలనే డిమాండ్తో నిరాహారదీక్ష చేస్తున్న ప్రొఫెసర్ అగర్వాల్కు మద్దతు ప్రకటిస్తున్నట్లు జనసేన అధ్యక్షులు పవన్ కల్యాణ్ తెలిపారు .""
""గంగానదిని రక్షించేందుకు ప్రత్యేక చట్టం తేవాలని కోరుతూ నిరాహార దీక్ష చేస్తున్న ప్రొ.అగర్వాల్ కు జనసేన అధ్యక్షుడు పవన్ కళ్యాణ్ మద్దతు తెలిపారు.""",0.87
TEL-train-00004,"""కరోనా వైరస్పై అమెరికా ప్రభుత్వానికి వ్యతిరేకంగా జరుగుతున్న ప్రచారం వెనుక రష్యా హస్తం వుందని అమెరికా విదేశాంగశాఖ ఆరోపించింది .""
""అమెరికా ప్రభుత్వానికి కరోనా వైరస్పై జరుగుతున్న వ్యతిరేక ప్రచారానికి రష్యానే కారణమని అమెరికా విదేశాంగశాఖ తెలియజేసింది.""",0.84
TEL-train-00005,"""కరోనా వైరస్ ( కొవిడ్ - 19 ) మనుషులపైనే కాదు జంతువులపై కూడా తన పంజాను విసురుతుంది .""
""కరోనావైరస్ (కోవిడ్-19) మానవులకు మరియు జంతువులకు హాని చేస్తుంది.""",0.84
TEL-train-00006,"""కరోనా నియంత్రణకు రూ.5వేల కోట్లు: సీఎం కేసీఆర్""
""కరోనా వైరస్ ను నియంత్రించేందుకు అవసరమైతే రూ.5వేల కోట్లయిన ఖర్చు చేస్తామని ముఖ్యమంత్రి కే చంద్రశేఖరరావు ప్రకటించారు.""",0.84
TEL-train-00007,"""ఇండియన్ ప్రీమియర్ లీగ్ – 2018 విజయవంతంగా కొనసాగుతోంది . ఇప్పటికే చెన్నై సూపర్ కింగ్స్ ఫైనల్ బెర్త్ను కన్ఫాం చేసుకుంది .""
""ఇండియన్ ప్రీమియర్ లీగ్ – 2018 హోరాహోరిగా సాగుతుంది.చెన్నై సూపర్ కింగ్స్ తుది పోరుకి చేరుకుంది.""",0.84
TEL-train-00008,"""ఢిల్లీ మెట్రో రైల్వే ట్రాక్పై ఒక నెమలి పడి ఉండటంతో సర్వీసులు 30 నిమిషాలపాటు ఆలశ్యంగా నడిచాయి .""
""ఢిల్లీ మెట్రో రైల్వే ట్రాక్పైఫై నెమలి పడి ఉండటంతో సర్వీసులాన్ని దాదాపు 30 నిమిషాలపాటు ఆలశ్యంగా నడవడం జరిగింది.""",0.84
TEL-train-00009,"""గోవా సిఎం ఆరోగ్యంపై వదంతులను కొట్టివేసిన లీలావతి ఆసుపత్రి""
""ముంబై : గోవా ముఖ్యమంత్రి మనోహర్ పారికర్ ఆరోగ్యంపై వెల్లువెత్తిన వదంతులను ముంబైలోని లీలావతి ఆసుపత్రి యాజమాన్యం కొట్టివేసింది.""",0.84
TEL-train-00010,"""కోడెల శివప్రసాదరావును అవమానించింది చంద్రబాబేనని మంత్రి కొడాలి నాని అన్నారు . అమరావతిలో ఆయన మీడియాతో మాట్లాడుతూ కోడెల ఆత్మహత్య దురదృష్టకరమన్నారు .""
""మంత్రి కొడాలి నాని చంద్రబాబే కోడెల శివప్రసాదరావును అవమానించారన్నారు. కోడెల ఆత్మహత్య దురదృష్టకరమని అమరావతి మీడియా తో అన్నారు.""",0.83
