PairID,Text,Score
ary_train_00001,بعدما تخلاو على الحياة الملكية.. الأمير هاري ومراتو ميكَان غادين يصورو فلوس صحيحة\nتقارير أمريكية: تعطات فلوس صحيحة باش يتصور لقاء مع الأمير البريطاني هاري و مراتو ميكَان,0.44
ary_train_00002,بلجيكا فجلسة مجلس الأمن: حل نزاع الصحرا بيد الأمم المتحدة وخاص العودة للعملية السياسية\nصحراويون من أجل السلام راسلات البابا باش يتدخل و يدعم جهود الأمم المتحدة ويساهم في حل نزاع الصحرا,0.44
ary_train_00003,منيب لـ”كود”: التعديل الحكومي لا يهم المغاربة والدولة العميقة لا زالت تتحكم في دواليب السلطة واسف من عدم محاسبة الوزراء الذين اخلوا بمسؤوليتهم\nمنيب لـ”كود”: التعديل الحكومي لا يهم المغاربة في شيء والدولة العميقة لا زالت تتحكم في دواليب السلطة,0.5
ary_train_00004,قيادي في البي جي دي ل”كود”: الغوت فاجتماع الامانة العامة كان بين حامي الدين وعمارة صافي وها كيفاش هي علاقة الرميد ببنكيران\nقيادي بي جي دي ل”كود”: بوانو وراء سحب تعديل الأغلبية على المادة 30 ولا علاقة لبنكيران ومزوار به,0.28
ary_train_00005,ها شكون اطلع ليهوم الجوك هاد الأسبوع فالتعيينات ديال المناصب العليا وفيهم جوج عيالات وصافي\nها شكون اطلع ليهوم الجُوكْ هاد الأسبوع فالتعيينات ديال المناصب العليا والجنس اللطيف ديما مقصي,0.81
ary_train_00006,حصيلة كورونا فالأقاليم والجهات: 924 تصابو فكازا سطات و9 ماتو.. و238 تشافاو اليوم فدرعة تافيلالت\nحصيلة كورونا فالأقاليم والجهات: 533 تصابو فكازا سطات.. و453 تشافاو اليوم فالداخلة,0.47
ary_train_00007,تقرير جديد للمجلس الأعلى للحسابات. فضايح مؤسسات الرعاية الاجتماعية: النص ديال البنايات قديمة وقريبة طيح ومافيهاش مرافق الأكل والمراحيض\nتقرير جديد للمجلس الأعلى للحسابات فيه أرقام كتخلع وفيها ريحة الخواض 2: أغلب مؤسسات الرعاية الاجتماعية مكتخضعش للرقابة وعندها حسابات بنكية متعددة,0.47
ary_train_00008,كورونا : 58 تقاسو بالفيروس فجهة كَليميم وادنون\nكورونا : 30 تقاسو بالفيروس فجهة كَليميم وادنون,0.86
ary_train_00009,كورونا : 22 تقاسو بالفيروس فجهة كَليميم وادنون\nكورونا : 40 تقاسو بالفيروس فجهة كَليميم وفيهم 3 محابسية فسجن بويزكارن و3 بوليس,0.64
ary_train_00010,الوضعية الوبائية لكورونا فجهات وأقاليم المغرب اليوم: كازا سطات سجلات 49 حالة جديدة وطنجة تطوان 22 حالة شفاء اليوم.. و7 جهات ما سجلات حتى إصابة\nالوضعية الوبائية لكورونا فجهات وأقاليم المغرب اليوم: أكثر من 250 حالة شفاء فكازا.. وحالة وفاة فكل من كَلميم والرباط.. ومراكش سجلات أكبر عدد دالإصابات,0.47
